german,article,plural,english,level,category
Schreiben,das,Schreiben,letter / writing,B1,communication
Schrift,die,Schriften,writing / script / font,B1,communication
Schriftsteller,der,Schriftsteller,writer / author,B1,people
Schritt,der,Schritte,step,B1,general
Schuh,der,Schuhe,shoe,B1,clothing
Schuld,die,,guilt / fault / debt,B1,general
Schulden,die,,debts,B1,money
Schule,die,Schulen,school,B1,education
Schularbeit,die,Schularbeiten,schoolwork / class test (Austrian),B1,education
Schüler,der,Schüler,pupil / student,B1,people
Schulter,die,Schultern,shoulder,B1,body
Schüssel,die,Schüsseln,bowl,B1,food
Schnitzel,das,Schnitzel,schnitzel / cutlet,B1,food
Schnupfen,der,,cold / runny nose,B1,health
Schokolade,die,,chocolate,B1,food
Schrank,der,Schränke,cupboard / wardrobe,B1,furniture
Schreck(en),der,,fright / terror,B1,general
Sehenswürdigkeit,die,Sehenswürdigkeiten,sight / tourist attraction,B1,places
Seife,die,Seifen,soap,B1,health
Seite,die,Seiten,page / side,B1,general
Sekretär,der,Sekretäre,secretary,B1,people
Schutz,der,,protection,B1,general
Schwammerl,das,Schwammerln,mushroom (Austrian),B1,food
Schwangerschaft,die,Schwangerschaften,pregnancy,B1,health
Schwester,die,Schwestern,sister,B1,people
Schwierigkeit,die,Schwierigkeiten,difficulty,B1,general
Schwimmbad,das,Schwimmbäder,swimming pool,B1,places
See,der,Seen,lake,B1,nature
Nord-/Ostsee,die,,North Sea / Baltic Sea,B1,nature
Sieg,der,Siege,victory,B1,general
Sieger,der,Sieger,winner / victor,B1,people
Sinn,der,,sense / meaning,B1,general
Situation,die,Situationen,situation,B1,general
Sitz,der,Sitze,seat,B1,furniture
Ski/Schi,der,Ski/Schier,ski,B1,general
Semester,das,Semester,semester,B1,education
Seminar,das,Seminare,seminar,B1,education
Semmel,die,Semmeln,bread roll (Austrian),B1,food
Sender,der,Sender,broadcaster / transmitter,B1,communication
Sendung,die,Sendungen,broadcast / programme / shipment,B1,communication
Senioren,die,,seniors / elderly people,B1,people
Serie,die,Serien,series,B1,communication
Service,der,,service,B1,general
Serviceangestellte,der,Serviceangestellten,service employee,B1,people
Sessel,der,Sessel,armchair,B1,furniture
Sicherheit,die,Sicherheiten,safety / security,B1,general
Souvenir,das,Souvenirs,souvenir,B1,general
Sozialarbeiter,der,Sozialarbeiter,social worker,B1,people
Spaß,der,,fun,B1,communication
Spaziergang,der,Spaziergänge,walk / stroll,B1,general
Socke,die,Socken,sock,B1,clothing
Sofa,das,Sofas,sofa,B1,furniture
Sohn,der,Söhne,son,B1,people
Sonne,die,,sun,B1,nature
Sorge,die,Sorgen,worry / concern / care,B1,communication
Soße/Sauce,die,Soße/Saucen,sauce / gravy,B1,food
Sprechstunde,die,Sprechstunden,office hours / surgery hours,B1,health
Spritze,die,Spritzen,injection / syringe,B1,health
Spur,die,Spuren,track / lane / trace,B1,transportation
Stadion,das,Stadien,stadium,B1,places
Stadtplan,der,Stadtpläne,city map / town plan,B1,places
Standpunkt,der,Standpunkte,standpoint / point of view,B1,communication
Star,der,Stars,star / celebrity,B1,people
Speisekarte,die,Speisekarten,menu,B1,food
Speisewagen,der,Speisewagen,dining car,B1,transportation
Spiegel,der,Spiegel,mirror,B1,home
Spiel,das,Spiele,game / play,B1,general
Spieler,der,Spieler,player,B1,people
Spielplatz,der,Spielplätze,playground,B1,places
Spielzeug,das,Spielzeuge,toy,B1,general
Sport,der,,sport,B1,general
Sportart,die,Sportarten,type of sport,B1,general
Sportler,der,Sportler,athlete / sportsperson,B1,people
Sprache,die,Sprachen,language,B1,education
Fremdsprache,die,Fremdsprachen,foreign language,B1,education
Muttersprache,die,Muttersprachen,mother tongue / native language,B1,education
Zweitsprache,die,Zweitsprachen,second language,B1,education
Donau,die,,Danube,B1,nature
Stein,der,Steine,stone / rock,B1,nature
Stelle,die,Stellen,position / place / job,B1,education
Stempel,der,Stempel,stamp / seal,B1,general
Stern,der,Sterne,star,B1,nature
Steuer,die,Steuern,tax / steering wheel,B1,money
Steward,der,Stewards,steward / flight attendant (male),B1,people
Stewardess,die,Stewardessen,stewardess / flight attendant (female),B1,people
Stift,der,Stifte,pen / pencil / pin,B1,general
Stil,der,Stile,style,B1,general
Stiefel,der,Stiefel,boot,B1,clothing
Stiegenhaus,das,Stiegenhäuser,stairwell (Austrian),B1,home
Start,der,Starts,start,B1,transportation
Station,die,Stationen,station / stop,B1,transportation
Statistik,die,Statistiken,statistics,B1,general
Stau,der,Staus,traffic jam,B1,transportation
Staub,der,,dust,B1,home
Steckdose,die,Steckdosen,socket / power outlet,B1,home
Stecker,der,Stecker,plug,B1,home
Streichholz,das,Streichhölzer,match,B1,general
Streik,der,Streiks,strike,B1,education
Streit,der,,argument / quarrel,B1,communication
Stress,der,,stress,B1,health
Strom,der,,electricity / current / river,B1,home
Strumpf,der,Strümpfe,stocking / sock,B1,clothing
Stück/-stück,das,Stück/-stücke,piece / item,B1,general
Studie,die,Studien,study,B1,education
Student,der,Studenten,student (male),B1,people
Studierende,der,Studierenden,student,B1,people
Studium,das,Studien,studies / degree,B1,education
Studio,das,Studios,studio,B1,places
Stufe,die,Stufen,step / level,B1,home
Stuhl,der,Stühle,chair,B1,furniture
Stimme,die,Stimmen,voice / vote,B1,communication
Stimmung,die,Stimmungen,mood / atmosphere,B1,communication
Stock,der,,floor / storey / stick,B1,home
Stockwerk,das,Stockwerke,floor / storey,B1,home
Stoff,der,Stoffe,material / fabric / substance,B1,clothing
Störung,die,Störungen,disruption / interference,B1,general
Strafe,die,Strafen,punishment / fine,B1,general
Strafzettel,der,Strafzettel,parking ticket / fine,B1,money
Strand,der,Strände,beach,B1,nature
Straße,die,Straßen,street / road,B1,places
Strecke,die,Strecken,route / stretch / distance,B1,transportation
Tabelle,die,Tabellen,table / chart,B1,general
Tablette,die,Tabletten,tablet / pill,B1,health
Tafel,die,Tafeln,blackboard / board / bar (chocolate),B1,education
Tagesablauf,der,Tagesabläufe,daily routine,B1,time
Tal,das,Täler,valley,B1,nature
Talent,das,Talente,talent,B1,general
Tankstelle,die,Tankstellen,petrol station / gas station,B1,places
Tante,die,Tanten,aunt,B1,people
Tanz,der,Tänze,dance,B1,communication
Tasche,die,Taschen,bag / pocket,B1,clothing
Taschengeld,das,Taschengelder,pocket money,B1,money
Taschentuch,das,Taschentücher,handkerchief / tissue,B1,health
Tasse,die,Tassen,cup,B1,food
Tastatur,die,Tastaturen,keyboard,B1,general
Taste,die,Tasten,key / button,B1,general
Tat,die,Taten,act / deed,B1,general
Täter,der,Täter,perpetrator,B1,people
Tätigkeit,die,Tätigkeiten,activity / occupation,B1,education
Sturm,der,Stürme,storm,B1,weather
Sucht,die,Süchte,addiction,B1,health
Suchtmittel,das,Suchtmittel,addictive substance,B1,health
Summe,die,Summen,sum / total,B1,money
Supermarkt,der,Supermärkte,supermarket,B1,places
Suppe,die,Suppen,soup,B1,food
Symbol,das,Symbole,symbol,B1,general
System,das,Systeme,system,B1,general
Szene,die,Szenen,scene,B1,communication
Telefon,das,Telefone,telephone,B1,communication
Teller,der,Teller,plate,B1,food
Temperatur,die,Temperaturen,temperature,B1,weather
Tempo,das,,speed / pace,B1,general
Tennis,das,,tennis,B1,general
Teppich,der,Teppiche,carpet / rug,B1,furniture
Termin,der,Termine,appointment / deadline,B1,time
Terminkalender,der,Terminkalender,diary / appointment book,B1,time
Terrasse,die,Terrassen,terrace / patio,B1,home
Test,der,Tests,test,B1,education
Text,der,Texte,text,B1,communication
Theater,das,Theater,theatre,B1,places
Thema,das,Themen,topic / theme,B1,general
Theorie,die,Theorien,theory,B1,general
Therapie,die,Therapien,therapy,B1,health
Ticket,das,Tickets,ticket,B1,transportation
Tier,das,Tiere,animal,B1,animals
Tatsache,die,Tatsachen,fact,B1,general
Technik,die,Techniken,technology / technique,B1,general
Technologie,die,Technologien,technology,B1,general
Tee,der,,tea,B1,food
Teil,das,Teile,part / piece,B1,general
Teilzeit,die,,part-time,B1,education
Teilnahme,die,Teilnahmen,participation,B1,general
Teilnehmer,der,Teilnehmer,participant,B1,people
Tradition,die,Traditionen,tradition,B1,communication
Trainer,der,Trainer,trainer / coach,B1,people
Training,das,Trainings,training,B1,general
Tram,das,Trams,tram / streetcar,B1,transportation
Träne,die,Tränen,tear (crying),B1,body
Transport,der,Transporte,transport,B1,transportation
Traum,der,Träume,dream,B1,communication
Treffpunkt,der,Treffpunkte,meeting point,B1,places
Trennung,die,Trennungen,separation,B1,people
Haustier,das,Haustiere,pet,B1,animals
Tierpark,der,Tierparks,animal park / zoo,B1,places
Tipp,der,Tipps,tip / hint,B1,communication
Tisch,der,Tische,table,B1,furniture
Titel,der,Titel,title,B1,general
Tochter,die,Töchter,daughter,B1,people
Tod,der,,death,B1,general
Toilette,die,Toiletten,toilet,B1,home
Tomate,die,Tomaten,tomato,B1,food
Topf,der,Töpfe,pot,B1,food
Tor,das,Tore,gate / goal,B1,places
Torte,die,Torten,cake / tart,B1,food
Tote,der,Toten,dead person,B1,people
Tourismus,der,,tourism,B1,places
Tourist,der,Touristen,tourist,B1,people
Tüte,die,Tüten,bag / paper bag,B1,general
Typ,der,Typen,type / guy,B1,people
Übung,die,Übungen,exercise / practice,B1,education
Treppenhaus,das,Treppenhäuser,stairwell,B1,home
Trinkgeld,das,Trinkgelder,tip / gratuity,B1,money
Tropfen,der,Tropfen,drops,B1,health
Trottoir,das,Trottoirs,pavement / sidewalk (Swiss),B1,transportation
Tuch,das,Tücher,cloth / scarf,B1,clothing
Tür,die,Türen,door,B1,home
Turm,der,Türme,tower,B1,places
Überzeugung,die,Überzeugungen,conviction / belief,B1,communication
Ufer,das,Ufer,bank / shore,B1,nature
Uhr,die,Uhren,clock / watch,B1,time
Umfrage,die,Umfragen,survey / poll,B1,general
Umgebung,die,Umgebungen,surroundings / environment,B1,places
Umleitung,die,Umleitungen,diversion / detour,B1,transportation
Übernachtung,die,Übernachtungen,overnight stay,B1,places
Überraschung,die,Überraschungen,surprise,B1,communication
Überschrift,die,Überschriften,headline / heading,B1,communication
Übersetzer,der,Übersetzer,translator,B1,people
Übersetzung,die,Übersetzungen,translation,B1,education
Überstunde,die,Überstunden,overtime,B1,education
Überweisung,die,Überweisungen,transfer / referral,B1,money
Uniform,die,Uniformen,uniform,B1,clothing
Unterhaltung,die,Unterhaltungen,entertainment / conversation,B1,communication
Unterkunft,die,Unterkünfte,accommodation,B1,places
Unterlagen,die,,documents / papers,B1,general
Unternehmer,der,Unternehmer,entrepreneur / employer,B1,people
Unterricht,der,,lessons / teaching / instruction,B1,education
Unterschied,der,Unterschiede,difference,B1,general
Umtausch,der,Umtäusche,exchange / return,B1,money
Umwelt,die,,environment,B1,nature
Umweltschutz,der,,environmental protection,B1,nature
Umweltverschmutzung,die,Umweltverschmutzungen,environmental pollution,B1,nature
Umzug,der,Umzüge,move / relocation / procession,B1,home
Unfall,der,Unfälle,accident,B1,health
Unglück,das,Unglücke,misfortune / accident,B1,general
Vase,die,Vasen,vase,B1,furniture
Vater,der,Väter,father,B1,people
Velo,das,Velos,bicycle (Swiss),B1,transportation
Verabredung,die,Verabredungen,appointment / date,B1,time
Abschied,der,Abschiede,farewell / goodbye,B1,communication
Veranstaltung,die,Veranstaltungen,event,B1,places
Verantwortung,die,,responsibility,B1,general
Verbot,das,Verbote,ban / prohibition,B1,general
Unterschrift,die,Unterschriften,signature,B1,general
Unterstützung,die,Unterstützungen,support,B1,general
Untersuchung,die,Untersuchungen,examination / investigation,B1,health
Urkunde,die,Urkunden,certificate / document,B1,general
Urlaub,der,Urlaube,holiday / vacation,B1,time
Ursache,die,Ursachen,cause / reason,B1,general
Urteil,das,Urteile,judgement / verdict,B1,general
Vergnügen,das,Vergnügen,pleasure / enjoyment,B1,general
Verhalten,das,,behaviour,B1,general
Verhältnis,das,Verhältnisse,relationship / ratio,B1,general
Verkäufer,der,Verkäufer,salesperson / seller,B1,people
Verkehr,der,,traffic,B1,transportation
Verkehrsmittel,das,Verkehrsmittel,means of transport,B1,transportation
Verlag,der,Verlage,publisher / publishing house,B1,communication
Verbindung,die,Verbindungen,connection / link,B1,transportation
Verbrecher,der,Verbrecher,criminal,B1,people
Verdacht,der,,suspicion,B1,general
Verein,der,Vereine,club / association,B1,general
Vergangenheit,die,,past,B1,time
Vergleich,der,Vergleiche,comparison,B1,general
Versammlung,die,Versammlungen,assembly / meeting,B1,general
Versichertenkarte,die,Versichertenkarten,health insurance card,B1,health
Versicherung,die,Versicherungen,insurance,B1,money
Verspätung,die,Verspätungen,delay,B1,transportation
Verletzung,die,Verletzungen,injury,B1,health
Verlierer,der,Verlierer,loser,B1,people
Verlust,der,Verluste,loss,B1,money
Vermieter,der,Vermieter,landlord,B1,people
Vermietung,die,Vermietungen,rental / letting,B1,money
Video,das,Videos,video,B1,communication
Viertel,das,Viertel,quarter,B1,general
Virus,der,Viren,virus,B1,health
Visitenkarte,die,Visitenkarten,business card,B1,communication
Visum,das,Visa,visa,B1,general
Vitamin,das,Vitamine,vitamin,B1,health
Vollzeit,die,,full-time,B1,education
Verständnis,das,,understanding,B1,communication
Versuch,der,Versuche,attempt / experiment,B1,general
Vertrag,der,Verträge,contract / agreement,B1,money
Vertrauen,das,,trust / confidence,B1,communication
Vertreter,der,Vertreter,representative / agent,B1,people
Vertretung,die,Vertretungen,representation / substitute,B1,people
Verwaltung,die,Verwaltungen,administration,B1,places
Verwandte,der,Verwandten,relative,B1,people
Vorschlag,der,Vorschläge,suggestion / proposal,B1,communication
Vorschrift,die,Vorschriften,regulation / rule,B1,general
Vorsicht,die,,caution / care,B1,general
Vorstellung,die,Vorstellungen,idea / imagination / introduction / performance,B1,communication
Vorstellungsgespräch,das,,job interview,B1,education
Vorteil,der,Vorteile,advantage,B1,general
Vortrag,der,Vorträge,lecture / talk,B1,education
Vorwahl,die,Vorwahlen,dialling code / area code,B1,communication
Vorwurf,der,Vorwürfe,accusation / reproach,B1,communication
Voraussetzung,die,Voraussetzungen,requirement / prerequisite,B1,general
Vorbereitung,die,Vorbereitungen,preparation,B1,general
Ware,die,Waren,goods / merchandise,B1,money
Wärme,die,,warmth / heat,B1,weather
Wäsche,die,,laundry / linen,B1,home
Waschmittel,das,Waschmittel,washing powder / detergent,B1,home
Wasser,das,,water,B1,food
Wecker,der,Wecker,alarm clock,B1,time
Wagen,der,Wagen,car / carriage / wagon,B1,transportation
Wahl,die,Wahlen,election / choice,B1,general
Wahrheit,die,Wahrheiten,truth,B1,general
Wald,der,Wälder,forest / wood,B1,nature
Wand,die,Wände,wall,B1,home
Wanderung,die,Wanderungen,hike,B1,nature
Werbung,die,Werbungen,advertising,B1,communication
Werk,das,Werke,work / plant / factory,B1,places
Werkstatt,die,Werkstätten,workshop / garage,B1,places
Werkzeug,das,Werkzeuge,tools,B1,general
Wert,der,Werte,value / worth,B1,money
Weg,der,Wege,path / way,B1,transportation
Wein,der,Weine,wine,B1,food
Welt,die,,world,B1,nature
Wind,der,Winde,wind,B1,weather
Wirkung,die,Wirkungen,effect,B1,general
Wirklichkeit,die,,reality,B1,general
Wirt,der,Wirte,landlord / innkeeper,B1,people
Wirtschaft,die,,economy,B1,money
Wissen,das,,knowledge,B1,education
Wissenschaft,die,Wissenschaften,science,B1,education
Wissenschaftler,der,Wissenschaftler,scientist / researcher,B1,people
Witz,der,Witze,joke,B1,communication
Wettbewerb,der,Wettbewerbe,competition,B1,general
Wetter,das,,weather,B1,weather
Wetterbericht,der,Wetterberichte,weather report,B1,weather
Wettervorhersage,die,Wettervorhersagen,weather forecast,B1,weather
Wiederholung,die,Wiederholungen,repetition / review,B1,education
Wiese,die,Wiesen,meadow,B1,nature
Wunsch,der,Wünsche,wish / desire,B1,communication
Wurst,die,Würste,sausage,B1,food
Zahl,die,Zahlen,number / digit,B1,general
Anzahl,die,Anzahlen,number / quantity,B1,general
Zahlung,die,Zahlungen,payment,B1,money
Zahn,der,Zähne,tooth,B1,body
Zahncreme/-pasta,die,,toothpaste,B1,health
Zange,die,Zangen,pliers / tongs,B1,general
Zeichen,das,Zeichen,sign / symbol,B1,general
Wohnsitz,der,Wohnsitze,place of residence / domicile,B1,places
Wohnung,die,Wohnungen,flat / apartment,B1,home
Wohnzimmer,das,Wohnzimmer,living room,B1,home
Wolke,die,Wolken,cloud,B1,weather
Wolle,die,,wool,B1,clothing
Wort,das,Wörter,word,B1,education
Wörterbuch,das,Wörterbücher,dictionary,B1,education
Wunde,die,Wunden,wound,B1,health
Wunder,das,Wunder,miracle / wonder,B1,general
Zeugnis,das,Zeugnisse,certificate / school report,B1,education
Ziel,das,Ziele,goal / destination / target,B1,general
Zigarette,die,Zigaretten,cigarette,B1,health
Zimmer,das,Zimmer,room,B1,home
Zinsen,die,,interest (financial),B1,money
Zirkus,der,Zirkusse,circus,B1,places
Zitrone,die,Zitronen,lemon,B1,food
Zivilstand,der,,civil status (Swiss),B1,people
Zoll,der,Zölle,customs / toll,B1,money
Zone,die,Zonen,zone,B1,general
Zoo,der,Zoos,zoo,B1,places
Zucker,der,,sugar,B1,food
Verkehrszeichen,das,Verkehrszeichen,traffic sign,B1,transportation
Zeichnung,die,Zeichnungen,drawing,B1,communication
Zeile,die,Zeilen,line / row,B1,general
Zeit,die,,time,B1,time
Zeitpunkt,der,Zeitpunkte,point in time / moment,B1,time
Zeitschrift,die,Zeitschriften,magazine / journal,B1,communication
Zeitung,die,Zeitungen,newspaper,B1,communication
Zelt,das,Zelte,tent,B1,general
Zentrum,das,Zentren,centre / downtown,B1,places
Zertifikat,das,Zertifikate,certificate,B1,education
Zettel,der,Zettel,note / slip of paper,B1,general
Zeug/-zeug,das,,stuff / things,B1,general
Zeuge,der,Zeugen,witness,B1,people
Zünder,der,Zünder,detonator / igniter,B1,general
Zündholz,das,Zündhölzer,match,B1,general
Zusammenhang,der,Zusammenhänge,context / connection,B1,general
Zuschauer,der,Zuschauer,spectator / viewer,B1,people
Zuschlag,der,Zuschläge,surcharge / supplement,B1,money
Zufall,der,Zufälle,coincidence / chance,B1,general
Zugang,der,Zugänge,access / entrance,B1,places
Zug,der,Züge,train / draught,B1,transportation
Zuhause,das,,home,B1,home
Zukunft,die,,future,B1,time
Zweck,der,Zwecke,purpose / aim,B1,general
Zweifel,der,Zweifel,doubt,B1,general
Zwiebel,die,Zwiebeln,onion,B1,food
Zustand,der,Zustände,condition / state,B1,general
Zustimmung,die,Zustimmungen,agreement / consent,B1,communication
Zutaten,die,,ingredients,B1,food
